iter	Passed	Remaining
0	3	310
1	6	322
2	9	299
3	11	276
4	14	272
5	17	266
6	20	274
7	23	270
8	26	264
9	28	257
10	30	250
11	32	239
12	34	234
13	36	225
14	38	218
15	40	211
16	41	204
17	43	198
18	45	193
19	47	188
20	49	187
21	51	182
22	53	178
23	55	174
24	56	170
25	58	166
26	60	162
27	62	160
28	64	158
29	66	155
30	68	152
31	70	150
32	72	147
33	74	145
34	77	144
35	79	142
36	81	139
37	83	136
38	85	133
39	87	130
40	88	127
41	89	123
42	91	121
43	93	118
44	94	115
45	96	113
46	98	110
47	100	108
48	101	105
49	103	103
50	105	101
51	107	99
52	109	97
53	111	94
54	112	91
55	114	89
56	115	87
57	117	85
58	119	83
59	121	81
60	123	78
61	125	76
62	127	74
63	128	72
64	130	70
65	132	68
66	134	66
67	136	64
68	138	62
69	140	60
70	142	58
71	143	55
72	145	53
73	147	51
74	149	49
75	151	47
76	152	45
77	154	43
78	156	41
79	158	39
80	159	37
81	162	35
82	165	33
83	167	31
84	169	29
85	170	27
86	172	25
87	174	23
88	176	21
89	177	19
90	179	17
91	181	15
92	183	13
93	184	11
94	186	9
95	188	7
96	190	5
97	192	3
98	193	1
99	195	0
