iter	Passed	Remaining
0	380	380466
1	387	193423
2	390	129796
3	416	103742
4	420	83717
5	439	72792
6	454	64425
7	458	56851
8	464	51155
9	479	47469
10	511	46001
11	517	42633
12	523	39736
13	529	37258
14	537	35273
15	540	33226
16	547	31682
17	553	30178
18	557	28809
19	568	27862
20	579	27028
21	589	26193
22	595	25300
23	599	24368
24	604	23587
25	608	22811
26	612	22086
27	616	21406
28	630	21116
29	810	26211
30	813	25443
31	829	25092
32	833	24413
33	844	24003
34	934	25755
35	939	25162
36	943	24545
37	945	23947
38	949	23396
39	955	22935
40	971	22722
41	991	22608
42	999	22250
43	1017	22111
44	1021	21669
45	1023	21233
46	1026	20816
47	1030	20435
48	1033	20054
49	1055	20055
50	1060	19738
51	1065	19431
52	1082	19348
53	1090	19105
54	1103	18954
55	1115	18797
56	1120	18536
57	1125	18273
58	1128	17993
59	1131	17724
60	1134	17460
61	1137	17213
62	1140	16966
63	1145	16759
64	1149	16535
65	1152	16307
66	1154	16080
67	1163	15944
68	1166	15734
69	1168	15528
70	1173	15352
71	1177	15170
72	1181	15004
73	1184	14825
74	1187	14648
75	1192	14494
76	1194	14319
77	1197	14150
78	1199	13986
79	1202	13830
80	1205	13675
81	1208	13526
82	1209	13365
83	1212	13221
84	1215	13080
85	1217	12942
86	1221	12813
87	1224	12685
88	1226	12555
89	1228	12425
90	1231	12298
91	1233	12174
92	1236	12056
93	1238	11937
94	1241	11827
95	1244	11723
96	1247	11616
97	1250	11513
98	1253	11403
99	1255	11298
100	1257	11195
101	1260	11098
102	1263	11001
103	1266	10908
104	1268	10814
105	1271	10724
106	1274	10632
107	1279	10564
108	1282	10482
109	1284	10395
110	1287	10310
111	1290	10229
112	1297	10182
113	1299	10103
114	1302	10024
115	1305	9946
116	1307	9868
117	1313	9814
118	1317	9752
119	1320	9683
120	1323	9613
121	1325	9541
122	1329	9478
123	1332	9410
124	1335	9345
125	1337	9278
126	1342	9226
127	1344	9161
128	1347	9098
129	1349	9034
130	1352	8970
131	1355	8911
132	1358	8854
133	1361	8796
134	1363	8737
135	1366	8680
136	1369	8627
137	1372	8575
138	1375	8519
139	1378	8464
140	1380	8410
141	1382	8353
142	1385	8305
143	1389	8258
144	1391	8206
145	1394	8158
146	1397	8110
147	1402	8071
148	1404	8022
149	1407	7974
150	1409	7926
151	1412	7880
152	1415	7836
153	1418	7790
154	1420	7743
155	1422	7698
